Shark.length.m,Victim.injury,Species.clean,State,Incident.year,length_floor,length_band,unit_col,unit_row
4.50,fatal,Tiger Shark,QLD,1988,4,4–5 m,2,6
4.50,fatal,White Shark,SA,2000,4,4–5 m,3,6
4.50,fatal,White Shark,WA,2011,4,4–5 m,4,6
4.50,fatal,White Shark,NSW,2021,4,4–5 m,0,7
4.50,fatal,White Shark,NSW,2022,4,4–5 m,1,7
4.60,fatal,Tiger Shark,QLD,1937,4,4–5 m,2,7
4.60,fatal,Tiger Shark,QLD,1937,4,4–5 m,3,7
4.80,fatal,Tiger Shark,QLD,1946,4,4–5 m,4,7
4.90,fatal,White Shark,NSW,1929,4,4–5 m,0,8
4.00,injured,Tiger Shark,QLD,1931,4,4–5 m,1,8
4.00,injured,White Shark,NSW,1932,4,4–5 m,2,8
4.00,injured,White Shark,NSW,1934,4,4–5 m,3,8
4.00,injured,Tiger Shark,QLD,1936,4,4–5 m,4,8
4.00,injured,Tiger Shark,NSW,1953,4,4–5 m,0,9
4.00,injured,White Shark,VIC,1959,4,4–5 m,1,9
4.00,injured,White Shark,VIC,1964,4,4–5 m,2,9
4.00,injured,Tiger Shark,NSW,1977,4,4–5 m,3,9
4.00,injured,White Shark,SA,1983,4,4–5 m,4,9
4.00,injured,White Shark,WA,2000,4,4–5 m,0,10
4.00,injured,White Shark,WA,2008,4,4–5 m,1,10
4.00,injured,White Shark,WA,2010,4,4–5 m,2,10
4.00,injured,White Shark,QLD,2016,4,4–5 m,3,10
4.00,injured,White Shark,NSW,2016,4,4–5 m,4,10
4.00,injured,Whaler Shark,QLD,2017,4,4–5 m,0,11
4.00,injured,White Shark,WA,2018,4,4–5 m,1,11
4.00,injured,White Shark,NSW,2020,4,4–5 m,2,11
4.00,injured,White Shark,WA,2021,4,4–5 m,3,11
4.10,injured,White Shark,QLD,1973,4,4–5 m,4,11
4.20,injured,Tiger Shark,QLD,1933,4,4–5 m,0,12
4.20,injured,White Shark,WA,1946,4,4–5 m,1,12
4.30,injured,Tiger Shark,QLD,1939,4,4–5 m,2,12
4.50,injured,Tiger Shark,QLD,1959,4,4–5 m,3,12
4.50,injured,White Shark,VIC,1989,4,4–5 m,4,12
4.50,injured,White Shark,WA,2004,4,4–5 m,0,13
4.00,uninjured,Tiger Shark,QLD,1983,4,4–5 m,1,13
4.00,uninjured,Hammerhead,QLD,1987,4,4–5 m,2,13
4.00,uninjured,White Shark,VIC,1989,4,4–5 m,3,13
4.00,uninjured,Tiger Shark,QLD,1990,4,4–5 m,4,13
4.00,uninjured,Tiger Shark,QLD,2000,4,4–5 m,0,14
4.00,uninjured,White Shark,SA,2000,4,4–5 m,1,14
4.00,uninjured,Tiger Shark,QLD,2001,4,4–5 m,2,14
4.00,uninjured,White Shark,VIC,2004,4,4–5 m,3,14
4.00,uninjured,White Shark,NSW,2005,4,4–5 m,4,14
4.00,uninjured,White Shark,NSW,2008,4,4–5 m,0,15
4.00,uninjured,White Shark,NSW,2009,4,4–5 m,1,15
4.00,uninjured,White Shark,VIC,2009,4,4–5 m,2,15
4.00,uninjured,White Shark,WA,2014,4,4–5 m,3,15
4.00,uninjured,White Shark,WA,2017,4,4–5 m,4,15
4.00,uninjured,White Shark,SA,2017,4,4–5 m,0,16
4.00,uninjured,White Shark,WA,2018,4,4–5 m,1,16
4.30,uninjured,Whaler Shark,NSW,1876,4,4–5 m,2,16
4.30,uninjured,White Shark,TAS,2015,4,4–5 m,3,16
4.50,uninjured,White Shark,WA,2019,4,4–5 m,4,16
4.60,uninjured,White Shark,SA,2014,4,4–5 m,0,17
5.00,fatal,White Shark,VIC,1930,5,5–6 m,0,0
5.00,fatal,White Shark,WA,2004,5,5–6 m,1,0
5.00,fatal,White Shark,SA,2004,5,5–6 m,2,0
5.00,fatal,White Shark,SA,2005,5,5–6 m,3,0
5.00,fatal,White Shark,WA,2014,5,5–6 m,4,0
5.00,fatal,White Shark,WA,2016,5,5–6 m,0,1
5.50,fatal,White Shark,WA,2008,5,5–6 m,1,1
5.00,injured,Tiger Shark,QLD,1956,5,5–6 m,2,1
5.00,injured,White Shark,SA,1963,5,5–6 m,3,1
5.00,injured,White Shark,WA,1997,5,5–6 m,4,1
5.00,injured,White Shark,WA,1997,5,5–6 m,0,2
5.00,injured,White Shark,SA,2005,5,5–6 m,1,2
5.00,injured,White Shark,WA,2006,5,5–6 m,2,2
5.00,injured,White Shark,TAS,2009,5,5–6 m,3,2
5.00,injured,White Shark,WA,2013,5,5–6 m,4,2
5.30,injured,White Shark,TAS,2012,5,5–6 m,0,3
5.00,uninjured,White Shark,NSW,2001,5,5–6 m,1,3
5.00,uninjured,White Shark,WA,2004,5,5–6 m,2,3
5.00,uninjured,White Shark,NSW,2008,5,5–6 m,3,3
5.50,uninjured,White Shark,TAS,1982,5,5–6 m,4,3
6.00,fatal,White Shark,NSW,1936,6,6–7 m,0,0
6.00,fatal,White Shark,TAS,1982,6,6–7 m,1,0
6.00,fatal,White Shark,SA,1985,6,6–7 m,2,0
6.00,fatal,White Shark,NSW,1993,6,6–7 m,3,0
6.00,fatal,White Shark,SA,2002,6,6–7 m,4,0
6.00,fatal,White Shark,WA,2005,6,6–7 m,0,1
6.00,injured,White Shark,SA,2012,6,6–7 m,1,1
6.00,injured,White Shark,SA,2015,6,6–7 m,2,1
6.00,uninjured,White Shark,TAS,1984,6,6–7 m,3,1
6.00,uninjured,White Shark,TAS,1984,6,6–7 m,4,1
6.00,uninjured,White Shark,WA,1999,6,6–7 m,0,2
6.00,uninjured,White Shark,WA,2009,6,6–7 m,1,2
