Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1927,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1920
1927,-34.05,151.0833333,fatal,Tiger Shark,Swimming,NSW,"greys point, port hacking",unprovoked,1920
1927,-27.46666667,153.0333333,uninjured,Bull Shark,Swimming,QLD,brisbane river,unprovoked,1920
1927,-32.93333333,151.75,injured,White Shark,Swimming,NSW,"merewether beach, newcastle",unprovoked,1920
1927,-10.56666667,142.2166667,injured,Tiger Shark,,QLD,"thursday island, torre strait",provoked,1920
1927,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1920
1927,-17.21666667,145.9666667,fatal,Tiger Shark,Swimming,QLD,cairns (near),unprovoked,1920
1927,-17.98333333,122.2333333,uninjured,Tiger Shark,Diving,WA,broome (area),provoked,1920
1928,-9.516666667,141.5666667,fatal,Tiger Shark,,QLD,"deliverance island, torres strait",provoked,1920
1928,-14.15,144.5,fatal,Tiger Shark,Snorkelling,QLD,"barrow point, 100 km north of cooktown",provoked,1920
1928,-19.8,149.05,injured,Tiger Shark,Snorkelling,QLD,great barrier reef (bowen area),provoked,1920
1928,-27.51666667,152.9833333,injured,Bull Shark,Swimming,QLD,"brisbane river, graceville",unprovoked,1920
1928,-33.88333333,151.2666667,injured,White Shark,Swimming,NSW,"bondi beach north, sydney",unprovoked,1920
1928,-32.93333333,151.75,fatal,White Shark,Swimming,NSW,"bar beach, newcastle",unprovoked,1920
1928,-10.58333333,142.2166667,injured,Tiger Shark,Swimming,QLD,torres strait,unprovoked,1920
1928,-10.58333333,142.2166667,injured,Tiger Shark,Snorkelling,QLD,torres strait,provoked,1920
1929,-19.13333333,146.8333333,fatal,Tiger Shark,Swimming,QLD,"magnetic island, alma bay",unprovoked,1920
1929,-34.41666667,137.9166667,injured,Wobbegong,Fishing,SA,adrossan beach,provoked,1920
1929,-33.88333333,151.2666667,fatal,White Shark,Swimming,NSW,"bondi beach, sydney",unprovoked,1920
1929,-35.03333333,150.7166667,injured,Wobbegong,Snorkelling,NSW,jervis bay,provoked,1920
1929,-33.93333333,151.25,fatal,White Shark,Swimming,NSW,"maroubra beach, sydney",unprovoked,1920
1929,-33.88333333,151.2666667,fatal,White Shark,Swimming,NSW,"bondi beach, sydney",unprovoked,1920
1929,-34.96666667,138.5,uninjured,White Shark,Boating,SA,"glenelg, adelaide",unprovoked,1920
1929,-19.51666667,148.8333333,injured,Unknown,Snorkelling,QLD,bowen (gbr),provoked,1920
1929,-34.41666667,137.9166667,injured,Wobbegong,Boating,SA,adrossan beach,unprovoked,1920
1929,-34.41666667,137.9166667,injured,Wobbegong,Boating,SA,adrossan beach,unprovoked,1920
1929,-9.416666667,142.5333333,fatal,Tiger Shark,Swimming,QLD,"torres strait, dauan island",unprovoked,1920
1929,-21.0,149.8833333,injured,Tiger Shark,Snorkelling,QLD,mackay,provoked,1920
1929,-26.98333333,153.0666667,injured,Bull Shark,Fishing,QLD,"bribie passage, pumicestone channel",provoked,1920
1929,-10.11666667,142.1333333,fatal,Tiger Shark,Swimming,QLD,"torres strait, badu island",unprovoked,1920
1929,-10.05,143.0666667,injured,Tiger Shark,Snorkelling,QLD,"torres strait, coconut island",provoked,1920
1929,-10.56666667,142.2166667,injured,Tiger Shark,Spearfishing,QLD,"thursday island, torre strait",provoked,1920
1929,-19.45,146.6,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1920
1929,-10.11666667,142.1333333,injured,Tiger Shark,Swimming,QLD,"torres strait, badu island",unprovoked,1920
1929,-19.45,146.6,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1920
1929,-33.71666667,151.3,injured,Wobbegong,Swimming,NSW,"collaroy beach, sydney",unprovoked,1920
1929,-33.85,151.1833333,fatal,Bull Shark,Swimming,NSW,"balmain, white bay, sydney harbour",unprovoked,1920
1929,-10.56666667,142.2166667,injured,Tiger Shark,Swimming,QLD,"thursday island, torre strait",unprovoked,1920
1929,-28.16666667,153.5333333,uninjured,Unknown,Swimming,QLD,coolangatta beach,unprovoked,1920
1930,-10.15,142.1833333,injured,Tiger Shark,Spearfishing,QLD,"torres strait, moa island",provoked,1930
1930,-37.9,144.9833333,fatal,White Shark,Swimming,VIC,"port philip bay, middle brighton pier",unprovoked,1930
1930,-10.56666667,142.2166667,injured,Tiger Shark,Swimming,QLD,"thursday island, torre strait",unprovoked,1930
1930,-9.95,142.1833333,fatal,Tiger Shark,Swimming,QLD,"torres strait, mabuiag island",unprovoked,1930
1930,-10.25,142.1,fatal,Tiger Shark,Snorkelling,QLD,"torres strait, badu island",provoked,1930
1930,-28.76666667,114.6,injured,Wobbegong,Fishing,WA,geraldton,provoked,1930
1930,-33.83333333,151.0666667,injured,Bull Shark,Swimming,NSW,"homebush bay, parramatta river, sydney",unprovoked,1930
1931,-33.8,151.2333333,injured,Wobbegong,Fishing,NSW,"spit bridge, middle harbour sydney",provoked,1930
1931,-23.11666667,150.7333333,injured,Tiger Shark,Swimming,QLD,yeppoon,unprovoked,1930
1931,-10.58333333,142.2166667,injured,Tiger Shark,Snorkelling,QLD,torres strait,provoked,1930
1931,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1930
1931,-19.45,146.6,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",provoked,1930
1931,-17.53333333,146.0166667,injured,Tiger Shark,Snorkelling,QLD,innisfail,provoked,1930
1932,-27.6,152.7666667,injured,Bull Shark,Swimming,QLD,"brisbane river, bremer river",unprovoked,1930
1932,-23.83333333,151.2166667,injured,Bull Shark,Fishing,QLD,calliope river,provoked,1930
1932,-34.36666667,150.9166667,injured,Wobbegong,Fishing,NSW,bellambi jetty,provoked,1930
1932,-16.91666667,145.7666667,injured,Tiger Shark,Snorkelling,QLD,cairns,provoked,1930
1932,-9.4,142.6666667,fatal,Tiger Shark,Swimming,QLD,"torres strait, warrior reef",unprovoked,1930
1932,-10.56666667,142.2166667,injured,Tiger Shark,Swimming,QLD,"thursday island, torre strait",unprovoked,1930
1932,-33.0,151.7166667,injured,White Shark,Swimming,NSW,"redhead beach, newcastle",unprovoked,1930
1932,-11.93333333,132.6166667,injured,Tiger Shark,Swimming,NT,arnhem land (coastal area),unprovoked,1930
1933,-19.25,146.8166667,fatal,Tiger Shark,Swimming,QLD,"townsville, strand beach",unprovoked,1930
1933,-31.96666667,115.85,uninjured,Bull Shark,Fishing,WA,"swan river, pelican rock",provoked,1930
1933,-14.15,144.5,injured,Tiger Shark,Snorkelling,QLD,"barrow point, 100km north of cooktown",provoked,1930
1933,-20.96666667,149.75,injured,Tiger Shark,Snorkelling,QLD,mackay (50 miles off - gbr),provoked,1930
1933,-12.45,130.8333333,uninjured,Unknown,Fishing,NT,"darwin, fanny bay",provoked,1930
1933,-28.13333333,153.4666667,injured,Bull Shark,Swimming,QLD,"currumbin creek, currumbin",unprovoked,1930
1933,-17.96666667,122.1666667,uninjured,Tiger Shark,Diving,WA,broome,provoked,1930
1933,-10.56666667,142.2166667,fatal,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1930
1933,-14.15,144.5,injured,Tiger Shark,Snorkelling,QLD,"barrow point, 100 km north of cooktown",provoked,1930
1933,-29.1,153.4333333,injured,Wobbegong,Swimming,NSW,evans head,provoked,1930
1934,-33.98333333,151.0666667,injured,Bull Shark,Swimming,NSW,"georges river,",unprovoked,1930
1934,-33.78333333,151.2833333,injured,White Shark,Swimming,NSW,"queenscliff beach, sydney",unprovoked,1930
1934,-20.0,148.45,uninjured,Tiger Shark,Snorkelling,QLD,"gloucester island, bowen",provoked,1930
1934,-10.6,142.6166667,injured,Tiger Shark,Spearfishing,QLD,"torres strait, adolphus channel ",provoked,1930
1934,-33.75,151.3,fatal,White Shark,Swimming,NSW,"dee why beach, sydney",unprovoked,1930
1934,-28.15,153.4833333,injured,Tiger Shark,Swimming,QLD,"currumbin beach, gold coast",unprovoked,1930
1934,-33.78333333,151.2833333,fatal,White Shark,Swimming,NSW,"manly, north steyne, sydney",unprovoked,1930
1934,-18.23333333,146.3166667,fatal,Tiger Shark,Swimming,QLD,"cardwell, off eva island",unprovoked,1930
1934,-9.966666667,143.2666667,fatal,Tiger Shark,Snorkelling,QLD,"torres strait, warrior reef",provoked,1930
1934,-11.66666667,132.5166667,fatal,Tiger Shark,Swimming,NT,"red cliff, cobourg peninsula",unprovoked,1930
1934,-33.95,151.9666667,injured,Bull Shark,Swimming,NSW,"georges river, milpera, sydney",unprovoked,1930
1934,-33.93333333,150.9666667,fatal,Bull Shark,Swimming,NSW,"georges river, milperra bridge",unprovoked,1930
1934,-33.48333333,151.3,fatal,Bull Shark,Swimming,NSW,"brisbane waters, woy woy",unprovoked,1930
1934,-33.48333333,151.3,injured,Bull Shark,Swimming,NSW,"brisbane waters, woy woy",unprovoked,1930
1935,-10.56666667,142.2166667,fatal,Tiger Shark,Swimming,QLD,"thursday island, torre strait",unprovoked,1930
1935,-34.3,150.9333333,injured,White Shark,Surfing/Boarding,NSW,"austinmer beach, wollongong",unprovoked,1930
1935,-33.93333333,151.25,fatal,White Shark,Swimming,NSW,"maroubra beach, sydney",unprovoked,1930
1935,-21.16666667,149.2333333,injured,Whaler Shark,Snorkelling,QLD,mackay (100 mile south),unprovoked,1930
1935,-14.66666667,145.45,injured,Tiger Shark,Snorkelling,QLD,lizard island,provoked,1930
1935,-33.7,151.3,fatal,White Shark,Swimming,NSW,"north narrabeen, sydney",unprovoked,1930
1935,-9.4,142.6666667,injured,Whaler Shark,Snorkelling,QLD,"torres strait, warrior reef",provoked,1930
1935,-9.4,142.6666667,fatal,Tiger Shark,Snorkelling,QLD,"torres strait, yule entrance",provoked,1930
1935,-17.53333333,146.0166667,injured,Tiger Shark,Snorkelling,QLD,innisfail (near),provoked,1930
1936,-33.88333333,151.2666667,uninjured,White Shark,Surfing/Boarding,NSW,"bondi beach north, sydney",provoked,1930
1936,-20.66666667,117.1833333,injured,Tiger Shark,Snorkelling,WA,"depuch island, cossack creek, dampier",provoked,1930
1936,-34.9,137.0,fatal,White Shark,Swimming,SA,"west beach, adelaide",unprovoked,1930
1936,-33.78333333,151.2833333,fatal,White Shark,Swimming,NSW,"manly, south steyne,  sydney",unprovoked,1930
1936,-27.43333333,153.0833333,uninjured,Bull Shark,Boating,QLD,brisbane river,unprovoked,1930
1936,-12.78333333,143.6,injured,Tiger Shark,Snorkelling,QLD,cape direction,provoked,1930
1936,-12.16666667,143.3833333,injured,Whaler Shark,Swimming,QLD,forbes island,unprovoked,1930
1936,-16.7,146.05,injured,Tiger Shark,Snorkelling,QLD,"arlington reef, green island",provoked,1930
1936,-20.81666667,149.4833333,injured,Unknown,Snorkelling,QLD,mackay reef (area),provoked,1930
1936,-10.6,142.2166667,fatal,Tiger Shark,Snorkelling,QLD,"torres strait, nepean island ",provoked,1930
1936,-20.81666667,149.4833333,injured,Tiger Shark,Snorkelling,QLD,mackay (reef area),provoked,1930
1936,-9.95,142.1833333,injured,Whaler Shark,Snorkelling,QLD,"torres strait, mabuiag island",provoked,1930
1936,-31.98333333,115.5333333,injured,Wobbegong,Swimming,WA,rottnest island,provoked,1930
1936,-33.95,151.15,injured,Wobbegong,Swimming,NSW,"botany bay, brighton-le-sands",unprovoked,1930
1936,-32.9,151.75,fatal,Bull Shark,Swimming,NSW,"throsby creek, newcastle",unprovoked,1930
1937,-10.58333333,142.2166667,injured,Tiger Shark,Swimming,QLD,torres strait,unprovoked,1930
1937,-32.93333333,151.75,fatal,White Shark,Swimming,NSW,"bar beach, newcastle",unprovoked,1930
1937,-30.91666667,153.0833333,injured,Wobbegong,Swimming,NSW,smoky cape lighthouse,unprovoked,1930
1937,-19.45,146.6,fatal,Bull Shark,Swimming,QLD,"townsville, ross creek",unprovoked,1930
1937,-9.95,142.1833333,injured,Tiger Shark,Snorkelling,QLD,"torres strait, mabuiag island",provoked,1930
1937,-28.63333333,153.6166667,injured,White Shark,Swimming,NSW,byron bay beach,unprovoked,1930
1937,-28.16666667,153.5166667,fatal,Tiger Shark,Swimming,QLD,"kirra beach, coolangatta",unprovoked,1930
1937,-28.16666667,153.5166667,fatal,Tiger Shark,Swimming,QLD,"kirra beach, coolangatta",unprovoked,1930
1937,-23.38333333,150.5166667,injured,Bull Shark,Swimming,QLD,"fitzroy river, rockhampton",unprovoked,1930
1937,-18.53333333,146.2333333,injured,Tiger Shark,Snorkelling,QLD,hinchinbrook channel,provoked,1930
1938,-18.13333333,146.25,injured,Tiger Shark,Fishing,QLD,brook island nr townsville,provoked,1930
1938,-33.85,151.25,injured,Bull Shark,Swimming,NSW,"lady martins beach, sydney harbour",provoked,1930
1938,-34.03333333,151.15,uninjured,White Shark,Surfing/Boarding,NSW,"cronulla beach, sydney",unprovoked,1930
1938,-12.03333333,134.2,injured,Whaler Shark,Boating,NT,liverpool river,unprovoked,1930
1938,-10.56666667,142.1666667,fatal,Unknown,Diving,QLD,thursday island area (unknown location),provoked,1930
1938,-11.4,130.4,fatal,Whaler Shark,Diving,NT,bathurst island,provoked,1930
1938,-27.43333333,153.1666667,injured,Tiger Shark,Fishing,QLD,"moreton bay, wynnum",provoked,1930
1938,-27.35,153.1166667,injured,Wobbegong,Swimming,QLD,"cribb island, brisbane",provoked,1930
1939,-29.41666667,152.3333333,uninjured,Bull Shark,Fishing,NSW,"yamba, clarence river",provoked,1930
1939,-9.95,142.1666667,injured,Tiger Shark,Snorkelling,QLD,"torres strait, mabuig island",provoked,1930
1939,-16.71666667,154.6833333,injured,Unknown,Swimming,QLD,"double island beach, cairns",unprovoked,1930
1939,-12.61666667,143.45,injured,Tiger Shark,Snorkelling,QLD,"restoration rock, portland road",provoked,1930
1939,-33.98333333,151.0666667,injured,Bull Shark,Swimming,NSW,georges river,unprovoked,1930
1939,-21.16666667,149.2333333,fatal,Bull Shark,Swimming,QLD,"mackay, rubbish dump creek, pioneer river",unprovoked,1930
1940,-10.56666667,142.2166667,injured,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1940
1940,-27.48333333,153.0166667,injured,Bull Shark,Swimming,QLD,"brisbane river, dutton park",unprovoked,1940
1940,-28.0,153.4166667,injured,Tiger Shark,Swimming,QLD,"southport, surfers paradise",unprovoked,1940
1940,-33.95,151.15,fatal,Tiger Shark,Swimming,NSW,"botany bay, brighton-le-sands",unprovoked,1940
1940,-33.95,151.15,fatal,Bull Shark,Swimming,NSW,"botany bay, brighton-le-sands",unprovoked,1940
1940,-34.73333333,150.8333333,injured,Wobbegong,Snorkelling,NSW,"gerringong, wollongong",provoked,1940
1940,-21.4,150.5333333,injured,Tiger Shark,Swimming,QLD,mackay,unprovoked,1940
1940,-32.85,151.8333333,fatal,Tiger Shark,Swimming,NSW,"stockton beach, newcastle",unprovoked,1940
1941,-10.56666667,142.2166667,injured,Tiger Shark,Swimming,QLD,"thursday island, torre strait",unprovoked,1940
1941,-10.11666667,142.1333333,fatal,Tiger Shark,Swimming,QLD,"torres strait, badu island",unprovoked,1940
1941,-26.46666667,110.2666667,injured,Unknown,Swimming,WA,off carnarvon,unprovoked,1940
1941,-24.88333333,113.65,injured,Bull Shark,Swimming,WA,"the facine, carnarvon",unprovoked,1940
1942,-33.76666667,151.2166667,fatal,Bull Shark,Swimming,NSW,"bantry bay, sydney harbour",unprovoked,1940
1942,-33.78333333,151.2833333,uninjured,White Shark,Surfing/Boarding,NSW,"manly, fairy bower, sydney",provoked,1940
1942,-17.7,146.5166667,injured,Tiger Shark,Snorkelling,QLD,cairns (reef 160km south),provoked,1940
1942,-20.08333333,148.8833333,injured,Unknown,Snorkelling,QLD,"hook island, whitsunday islands",provoked,1940
1942,-16.78333333,145.7,injured,Tiger Shark,Swimming,QLD,"trinity beach, cairns",unprovoked,1940
1942,-33.76666667,151.2166667,fatal,Bull Shark,Swimming,NSW,"bantry bay, sydney harbour",unprovoked,1940
1943,-12.46666667,130.8333333,injured,Tiger Shark,Swimming,NT,darwin,unprovoked,1940
1944,-32.16666667,152.5166667,injured,White Shark,Surfing/Boarding,NSW,"forster, first beach",unprovoked,1940
1945,-33.95,151.25,injured,Wobbegong,Fishing,NSW,malabar bay,provoked,1940
1945,-16.71666667,145.6666667,fatal,Tiger Shark,Swimming,QLD,"trinity beach, double island, cairns",unprovoked,1940
1946,-19.25,146.8166667,injured,Unknown,Swimming,QLD,townsville,unprovoked,1940
1946,-33.98333333,151.0833333,fatal,Bull Shark,Swimming,NSW,"georges river, oatley bay, sydney",unprovoked,1940
1946,-31.93333333,115.75,injured,White Shark,Swimming,WA,"city beach, perth",unprovoked,1940
1946,-16.78333333,145.7,fatal,Tiger Shark,Swimming,QLD,"trinity beach, cairns",unprovoked,1940
1946,-16.71666667,145.6333333,fatal,Tiger Shark,Swimming,QLD,"ellis beach, cairns",unprovoked,1940
1946,-33.05,151.6333333,injured,Bull Shark,Swimming,NSW,"lake macquarie, mark's point",unprovoked,1940
1946,-10.56666667,142.2166667,fatal,Tiger Shark,Snorkelling,QLD,"thursday island, torre strait",provoked,1940
1946,-34.96666667,138.5,injured,White Shark,Swimming,SA,"glenelg jetty, adelaide",unprovoked,1940
1947,-12.45,130.7833333,uninjured,Tiger Shark,Diving,NT,darwin harbour,provoked,1940
1947,-16.55,139.4,injured,Tiger Shark,Standing in Water,QLD,mornington island,unprovoked,1940
1947,-31.33333333,152.8333333,fatal,Bull Shark,Swimming,NSW,"port macquarie, wilson river",unprovoked,1940
1947,-31.33333333,152.8333333,injured,Bull Shark,Swimming,NSW,"port macquarie, wilson river",unprovoked,1940
1947,-31.7,152.75,injured,Bull Shark,Fishing,NSW,"watson taylor lake, laurieton",provoked,1940
1948,-31.98333333,115.5333333,injured,Wobbegong,Swimming,WA,rottnest island,provoked,1940
1948,-32.85,151.8333333,fatal,Tiger Shark,Swimming,NSW,"stockton beach, newcastle",unprovoked,1940
1948,-9.633333333,142.6833333,injured,Tiger Shark,Snorkelling,QLD,"torres strait, saibai island",provoked,1940
1948,-26.8,153.1333333,fatal,Tiger Shark,Swimming,QLD,"caloundra, kings beach",unprovoked,1940
1948,-33.85,151.25,uninjured,Tiger Shark,Spearfishing,NSW,"nielson park, sydney harbour",provoked,1940
1949,-33.88333333,151.2666667,uninjured,Whaler Shark,Surfing/Boarding,NSW,"bondi north, ben buckler, sydney",provoked,1940
1949,-29.1,153.4333333,injured,Wobbegong,,NSW,evans head,provoked,1940
1949,-33.66666667,151.3,uninjured,White Shark,Surfing/Boarding,NSW,"mona vale beach, sydney",unprovoked,1940
1949,-32.93333333,151.75,fatal,White Shark,Swimming,NSW,"bar beach, newcastle",unprovoked,1940
1949,-33.65,151.3166667,uninjured,White Shark,Surfing/Boarding,NSW,"newport, sydney",unprovoked,1940
1949,-16.71666667,145.6333333,fatal,Tiger Shark,Swimming,QLD,"ellis beach, cairns",unprovoked,1940
1949,-17.96666667,122.1666667,injured,Bull Shark,Swimming,WA,"broome, gantheaume point",unprovoked,1940
1949,-40.11666667,148.9333333,injured,White Shark,Swimming,TAS,"flinders island, bass strait.",unprovoked,1940
1949,-16.81666667,145.7666667,injured,Tiger Shark,Swimming,QLD,"yorkey knob beach, cairns",unprovoked,1940
1949,-16.81666667,145.7666667,fatal,Tiger Shark,Swimming,QLD,"yorkey knob beach, cairns",unprovoked,1940
1949,-34.0,151.2,injured,Wobbegong,Swimming,NSW,"botany bay, kurnell",provoked,1940
1950,-37.96666667,144.7,injured,Wobbegong,Swimming,VIC,"port phillip bay, south beach, werribee",provoked,1950
1950,-16.9,145.85,fatal,Tiger Shark,Swimming,QLD,"cairns, kings beach",unprovoked,1950
1950,-28.1,153.1,injured,Bull Shark,Swimming,QLD,burleigh heads,unprovoked,1950
1950,-23.11666667,150.7333333,uninjured,Tiger Shark,Boating,QLD,yeppoon,unprovoked,1950
1950,-28.1,153.4666667,fatal,Tiger Shark,Swimming,QLD,"palm beach, gold coast",unprovoked,1950
1951,-34.53333333,150.8666667,injured,Bull Shark,Spearfishing,NSW,"windang, lake illawarra, wollongong",provoked,1950
1951,-33.88333333,151.2666667,injured,Wobbegong,Swimming,NSW,"bondi beach, sydney",unprovoked,1950
1951,-33.63333333,151.3166667,injured,Wobbegong,Surfing/Boarding,NSW,"avalon beach, sydney.",provoked,1950
1951,-23.38333333,150.55,fatal,Bull Shark,Swimming,QLD,fitzroy river,unprovoked,1950
1951,-19.23333333,146.8,fatal,Tiger Shark,Swimming,QLD,"townsville, kissing point",unprovoked,1950
1951,-32.93333333,151.75,fatal,White Shark,Swimming,NSW,"merewether beach, newcastle",unprovoked,1950
1951,-33.36666667,151.4333333,uninjured,White Shark,Surfing/Boarding,NSW,"terrigal, central coast",unprovoked,1950
1952,-29.1,153.4333333,injured,Wobbegong,Surfing/Boarding,NSW,evan's head,unprovoked,1950
1952,-19.25,146.8166667,uninjured,Bull Shark,,QLD,"townsville, ross creek",provoked,1950
1952,-35.06666667,117.05,injured,Wobbegong,Fishing,WA,boyup brook (area),provoked,1950
1952,-38.38333333,145.15,injured,White Shark,Swimming,VIC,"somers beach, westernport",unprovoked,1950
1952,-38.01666667,140.5666667,injured,White Shark,Fishing,SA,cape douglas,provoked,1950
1953,-33.86666667,151.2,injured,Wobbegong,Spearfishing,NSW,sydney,provoked,1950
1953,-34.56666667,150.8666667,injured,Wobbegong,Spearfishing,NSW,"shellharbour, wollongong",provoked,1950
1953,-33.71666667,151.3,injured,Wobbegong,Spearfishing,NSW,"collaroy beach, sydney",provoked,1950
1953,-33.73333333,151.3,injured,Tiger Shark,Spearfishing,NSW,"long reef, sydney",provoked,1950
1953,-33.93333333,151.25,uninjured,White Shark,Swimming,NSW,"maroubra beach, sydney",unprovoked,1950
1953,-33.93333333,151.25,injured,White Shark,Swimming,NSW,"maroubra beach, sydney",unprovoked,1950
1953,-28.11666667,153.4666667,injured,White Shark,Swimming,QLD,"palm beach, gold coast",unprovoked,1950
1954,-38.05,140.7,injured,Wobbegong,,SA,port macdonnell,provoked,1950
1954,-10.23333333,142.4833333,injured,Tiger Shark,Spearfishing,QLD,"torres strait, naghir island",provoked,1950
1954,-33.45,151.4333333,injured,Whaler Shark,Swimming,NSW,avoca beach,unprovoked,1950
1954,-33.33333333,151.5,fatal,White Shark,Swimming,NSW,"the entrance, gosford",unprovoked,1950
1954,-16.91666667,145.99445,injured,Tiger Shark,Snorkelling,QLD,"cairns,  fitzroy island",provoked,1950
1954,-9.583333333,143.7666667,fatal,Tiger Shark,Spearfishing,QLD,"torres strait, darnley (erub) island",provoked,1950
1955,-33.81666667,151.25,fatal,Bull Shark,Spearfishing,NSW,"balmoral beach, wyargine point",provoked,1950
1955,-33.78333333,151.2166667,fatal,Bull Shark,Swimming,NSW,"sugarloaf bay, sydney harbour",unprovoked,1950
1955,-33.41666667,151.45,fatal,White Shark,Swimming,NSW,"wamberal beach, gosford.",unprovoked,1950
1955,-17.93333333,145.9333333,injured,Wobbegong,Spearfishing,QLD,tully (5 miles off),provoked,1950
1956,-17.71666667,146.4,injured,Tiger Shark,Snorkelling,QLD,innisfail (off shore reef),provoked,1950
1956,-21.11666667,149.15,fatal,Bull Shark,Swimming,QLD,"mackay, rocklea reach, pioneer river",unprovoked,1950
1956,-38.43333333,145.2333333,injured,Wobbegong,Swimming,VIC,"cowes jetty, phillip island",unprovoked,1950
1956,-37.96666667,145.0,uninjured,Bronze Whaler,Spearfishing,VIC,"port phillip bay, black rock beach",provoked,1950
1956,-32.13333333,115.7333333,uninjured,Whaler Shark,Diving,WA,"woodmans point, perth",unprovoked,1950
1956,-38.33333333,144.7,fatal,White Shark,Swimming,VIC,portsea beach,unprovoked,1950
1956,-10.58333333,142.2166667,injured,Tiger Shark,Snorkelling,QLD,torres strait,provoked,1950
1956,-28.0,153.4166667,injured,Wobbegong,Diving,QLD,"southport, surfers paradise",provoked,1950
1957,-28.63333333,153.6166667,uninjured,White Shark,Surfing/Boarding,NSW,"byron bay, sharkey's beach ",unprovoked,1950
1957,-16.38333333,122.9166667,fatal,Tiger Shark,Swimming,WA,cape leveque,unprovoked,1950
1957,-32.93333333,151.75,injured,Wobbegong,Swimming,NSW,"merewether beach, newcastle",unprovoked,1950
1957,-10.56666667,142.2166667,injured,Tiger Shark,Swimming,QLD,"torres strait, hervey island harbour",provoked,1950
1957,-32.68333333,152.1833333,injured,White Shark,Spearfishing,NSW,"port stephens, mount yakaba head",provoked,1950
1957,-10.58333333,142.2166667,injured,Tiger Shark,Snorkelling,QLD,torres strait,provoked,1950
1958,-28.53333333,153.55,injured,Wobbegong,Swimming,NSW,brunswick heads,unprovoked,1950
1958,-35.2,150.55,injured,White Shark,Spearfishing,NSW,"swan lake, sussex inlet",provoked,1950
1958,-33.05,151.6333333,uninjured,Bull Shark,Fishing,NSW,"lake macquarie, speers point",provoked,1950
1958,-9.75,143.4,fatal,Tiger Shark,Spearfishing,QLD,"torres strait, umaga (york) island",provoked,1950
1958,-38.21666667,145.0166667,uninjured,Bronze Whaler,Spearfishing,VIC,"port phillip bay, mornington, marina cove",provoked,1950
1958,-32.71666667,152.1666667,injured,Wobbegong,Spearfishing,NSW,"port stephens, shoal bay",provoked,1950
1958,-28.0,153.4166667,fatal,Tiger Shark,Swimming,QLD,surfers paradise,unprovoked,1950
1959,-31.95,115.85,injured,Bull Shark,Fishing,WA,"swan river, south perth",provoked,1950
1959,-26.66666667,153.1166667,injured,Wobbegong,Swimming,QLD,"mooloolaba, alexandra headland",unprovoked,1950
1959,-43.15,147.85,fatal,White Shark,Swimming,TAS,"safety cove, port arthur",provoked,1950
1959,-39.85,143.8333333,injured,White Shark,Boating,TAS,"whale bay, king island",unprovoked,1950
1959,-34.3,150.9166667,uninjured,Whaler Shark,Spearfishing,NSW,thirroul near wollongong,provoked,1950
1959,-10.58333333,142.2166667,injured,Tiger Shark,,QLD,"torres strait, coconut island",provoked,1950
1959,-28.01666667,153.4333333,injured,Tiger Shark,Swimming,QLD,northcliffe beach. gold coast,provoked,1950
1959,-38.45,144.0833333,injured,White Shark,Swimming,VIC,"fairhaven beach, lorne",unprovoked,1950
1959,-27.43333333,153.1666667,fatal,Tiger Shark,Swimming,QLD,"moreton bay, wynnum",unprovoked,1950
1959,-27.23333333,153.1,uninjured,Tiger Shark,Surfing/Boarding,QLD,"moreton bay, scott's point beach, redcliff",provoked,1950
1960,-37.98333333,145.0166667,injured,Bronze Whaler,Spearfishing,VIC,"port phillip bay, ricketts point, parkdale",provoked,1960
1960,-33.76666667,151.2,fatal,Bull Shark,Snorkelling,NSW,"roseville bridge, sydney",unprovoked,1960
1960,-38.16666667,145.0666667,injured,Bronze Whaler,Spearfishing,VIC,"port phillip bay, canadian bay, mount eliza,",provoked,1960
1960,-30.86666667,153.0333333,injured,White Shark,Swimming,NSW,"horseshoe bay, kempsey",unprovoked,1960
1960,-32.6,152.3166667,uninjured,Bronze Whaler,Spearfishing,NSW,"port stephens, broughton island",provoked,1960
1960,-21.13333333,149.2,injured,Whaler Shark,Swimming,QLD,"mackay, black beach",unprovoked,1960
1960,-34.21666667,115.0166667,injured,Wobbegong,Spearfishing,WA,hamelin bay,provoked,1960
1960,-33.78333333,151.2833333,injured,Whaler Shark,Swimming,NSW,"manly, shelly beach",unprovoked,1960
1960,-27.36666667,153.15,injured,Bull Shark,Swimming,QLD,"brisbane river, college crossing",unprovoked,1960
1961,-30.63333333,153.1833333,injured,Other,Swimming,NSW,nambucca heads,provoked,1960
1961,-38.26666667,145.0166667,injured,Wobbegong,Swimming,VIC,"port phillip bay, mount martha beach",unprovoked,1960
