Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1877,-38.38333333,142.4833333,injured,White Shark,Swimming,VIC,port fairy,unprovoked,1870
1877,-38.1,144.65,injured,White Shark,Swimming,VIC,"port phillip bay, portarlington",unprovoked,1870
1877,-33.86666667,151.2,injured,Bull Shark,Swimming,NSW,"balmain, sydney harbour",unprovoked,1870
1877,-34.73333333,138.0333333,injured,Unknown,Swimming,SA,st kilda beach,provoked,1870
1878,-9.633333333,142.6833333,injured,Tiger Shark,Snorkelling,QLD,"torres strait, saibai island",provoked,1870
1878,-38.38333333,142.5,injured,Whaler Shark,Swimming,VIC,hopkin's river,unprovoked,1870
1878,-25.8,153.05,injured,Bull Shark,Fishing,QLD,"inskip point, off frazer island",provoked,1870
1878,-33.85,151.15,injured,Wobbegong,Swimming,NSW,"iron cove river, sydney harbour",unprovoked,1870
1879,-33.86666667,151.2,fatal,Bull Shark,Swimming,NSW,"darling harbour, sydney harbour",unprovoked,1870
1879,-29.4,153.3333333,injured,White Shark,Swimming,NSW,"yamba, clarence river heads, lluka beach",unprovoked,1870
1880,-16.9,145.9833333,fatal,Tiger Shark,Swimming,QLD,"cairns, fitzroy island",unprovoked,1880
1880,-33.08333333,151.5,injured,Bull Shark,Swimming,NSW,"lake macquarie, dora creek",unprovoked,1880
1880,-27.51666667,152.9,injured,Bull Shark,Swimming,QLD,"brisbane river, ipswich",unprovoked,1880
1880,-27.46666667,153.0333333,fatal,Bull Shark,Swimming,QLD,"brisbane river, kangaroo point",unprovoked,1880
1881,-31.06666667,152.6333333,uninjured,Bull Shark,Swimming,NSW,"lake macquarie, pelican flat",unprovoked,1880
1881,-25.25,152.85,injured,Tiger Shark,,QLD,"hervey bay, wide bay",unprovoked,1880
1881,-20.0,148.8,injured,Tiger Shark,Spearfishing,QLD,great barrier reef (unknown location),provoked,1880
1881,-33.86666667,151.2333333,fatal,Bull Shark,Swimming,NSW,"rushcutters bay, sydney harbour",unprovoked,1880
1881,-24.83333333,152.1166667,injured,Bull Shark,Swimming,QLD,"kolan river, bunbagerg",unprovoked,1880
